Pair	 Nspec	 mean epoch	 epoch std
(0,0)	 19			 1.14			 1.48
(0,1)	 6			 1.72			 1.38
(0,2)	 1			 -1.36			 nan
(0,3)	 2			 0.51			 3.29
(0,5)	 1			 2.50			 nan
(0,6)	 3			 -0.48			 1.54
(0,7)	 7			 1.22			 1.06
(0,8)	 2			 1.00			 1.42
(0,9)	 19			 0.16			 1.79
(1,0)	 4			 -1.25			 1.55
(1,3)	 1			 2.80			 nan
(1,6)	 1			 -2.39			 nan
(1,7)	 1			 0.04			 nan
(1,9)	 1			 -0.30			 nan
(2,0)	 2			 -2.53			 0.13
(2,1)	 1			 0.05			 nan
(2,3)	 1			 1.82			 nan
(2,4)	 1			 0.82			 nan
(2,5)	 1			 1.82			 nan
(2,6)	 3			 -0.92			 2.13
(2,7)	 3			 2.29			 2.19
(2,9)	 3			 -0.52			 1.33
(3,0)	 1			 -2.12			 nan
(3,2)	 2			 -0.08			 1.19
(3,4)	 2			 0.45			 0.89
(3,5)	 2			 0.71			 0.15
(3,6)	 5			 1.60			 2.08
(3,7)	 7			 0.30			 1.89
(3,9)	 6			 0.61			 1.12
(4,0)	 3			 -0.28			 1.02
(4,2)	 4			 -0.45			 2.24
(4,3)	 1			 -0.65			 nan
(4,4)	 6			 0.69			 2.13
(4,5)	 7			 -0.09			 1.74
(4,6)	 10			 -0.71			 1.44
(4,7)	 10			 -1.44			 1.67
(4,9)	 7			 0.52			 0.74
(5,0)	 10			 1.40			 2.12
(5,3)	 4			 -0.02			 1.64
(5,4)	 4			 -1.74			 2.03
(5,5)	 5			 0.29			 1.14
(5,6)	 8			 -0.87			 1.41
(5,7)	 2			 2.13			 0.34
(5,8)	 1			 1.09			 nan
(5,9)	 16			 -0.34			 1.45
(6,0)	 6			 0.47			 2.02
(6,1)	 2			 0.82			 2.19
(6,3)	 1			 -1.45			 nan
(6,4)	 5			 -0.85			 2.11
(6,5)	 5			 -1.25			 0.81
(6,6)	 1			 -1.79			 nan
(6,7)	 1			 -2.42			 nan
(6,8)	 1			 1.40			 nan
(6,9)	 18			 0.18			 1.60
(7,0)	 8			 -1.10			 0.92
(7,1)	 1			 1.40			 nan
(7,3)	 2			 0.44			 0.69
(7,4)	 3			 1.00			 1.79
(7,5)	 2			 1.81			 0.45
(7,7)	 4			 -1.62			 0.91
(7,9)	 19			 0.30			 1.74
(8,0)	 2			 0.47			 2.87
(8,1)	 4			 -1.06			 1.73
(8,2)	 1			 2.92			 nan
(8,4)	 2			 1.16			 0.64
(8,5)	 1			 -2.46			 nan
(8,6)	 1			 -2.09			 nan
(8,9)	 10			 0.78			 1.90
(9,0)	 69			 0.22			 1.67
(9,1)	 15			 -1.31			 1.76
(9,2)	 12			 -1.21			 1.08
(9,3)	 11			 1.93			 2.13
(9,4)	 14			 -1.03			 1.57
(9,5)	 5			 -1.25			 2.09
(9,6)	 10			 0.05			 1.53
(9,7)	 10			 -0.27			 1.71
(9,8)	 3			 0.60			 1.05
(9,9)	 31			 0.20			 1.94
