Pair =(0,0)	 Nspec=19			 mean epoch=1.14			 epoch std=1.48
SNIa	 zhelio	 MJD	 epoch
sn1991bg	 0.00354	 48604.00	 1.136
sn1991bg	 0.00354	 48604.00	 1.136
sn1999by	 0.00220	 51312.00	 2.794
sn1999by	 0.00220	 51311.00	 1.796
sn2007ba	 0.03851	 54200.47	 2.140
sn1991bg	 0.00354	 48603.00	 0.140
sn2002fb	 0.01560	 52530.29	 0.980
sn2007ax	 0.00686	 54185.21	 -1.877
sn2005ke	 0.00488	 53699.30	 0.498
sn1999by	 0.00220	 51312.15	 2.944
sn2002fb	 0.01560	 52529.44	 0.335
sn2005ke	 0.00488	 53701.27	 2.459
sn1998de	 0.01670	 51029.46	 2.715
sn2007al	 0.01212	 54171.31	 2.381
sn2007ax	 0.00686	 54186.26	 -0.834
sn2005ke	 0.00488	 53699.11	 1.270
sn2007al	 0.01212	 54173.09	 1.770
sn2005ke	 0.00488	 53698.22	 0.390
sn2007ax	 0.00686	 54185.06	 -2.030
-----------------------------------------------------------------
Pair =(0,1)	 Nspec=6			 mean epoch=1.72			 epoch std=1.38
SNIa	 zhelio	 MJD	 epoch
sn2003gq	 0.02140	 52847.29	 -0.690
sn2006gt	 0.04477	 54004.38	 2.374
sn2006gt	 0.04477	 54003.36	 1.397
sn2006gt	 0.04477	 54003.25	 0.270
sn2006gt	 0.04477	 54005.10	 2.040
sn2006gt	 0.04477	 54006.09	 2.990
-----------------------------------------------------------------
Pair =(0,2)	 Nspec=1			 mean epoch=-1.36			 epoch std=nan
SNIa	 zhelio	 MJD	 epoch
sn2005hk	 0.01300	 53683.22	 -1.362
-----------------------------------------------------------------
Pair =(0,3)	 Nspec=2			 mean epoch=0.51			 epoch std=3.29
SNIa	 zhelio	 MJD	 epoch
sn2001ex	 0.02640	 52202.43	 -1.820
sn2001ep	 0.01300	 52202.47	 2.830
-----------------------------------------------------------------
Pair =(0,5)	 Nspec=1			 mean epoch=2.50			 epoch std=nan
SNIa	 zhelio	 MJD	 epoch
sn2007bc	 0.02077	 54202.14	 2.500
-----------------------------------------------------------------
Pair =(0,6)	 Nspec=3			 mean epoch=-0.48			 epoch std=1.54
SNIa	 zhelio	 MJD	 epoch
sn2005hk	 0.01300	 53682.20	 -2.369
sn2002cr	 0.00940	 52409.28	 0.674
sn2009ag	 0.00864	 54888.18	 -0.480
-----------------------------------------------------------------
Pair =(0,7)	 Nspec=7			 mean epoch=1.22			 epoch std=1.06
SNIa	 zhelio	 MJD	 epoch
sn2008ar	 0.02615	 54537.00	 2.830
sn2001bf	 0.01560	 52045.44	 1.220
sn2001bf	 0.01560	 52046.48	 0.768
sn2002fk	 0.00750	 52550.45	 2.531
sn2006ax	 0.01674	 53827.30	 0.492
sn2004bg	 0.02080	 53112.19	 2.635
sn2006ax	 0.01674	 53827.14	 0.490
-----------------------------------------------------------------
Pair =(0,8)	 Nspec=2			 mean epoch=1.00			 epoch std=1.42
SNIa	 zhelio	 MJD	 epoch
sn2004S	 0.00937	 53040.00	 -0.004
sn2006cq	 0.04830	 53891.31	 2.000
-----------------------------------------------------------------
Pair =(0,9)	 Nspec=19			 mean epoch=0.16			 epoch std=1.79
SNIa	 zhelio	 MJD	 epoch
sn1999ee	 0.01141	 51471.00	 1.680
sn2008A	 0.01620	 54476.19	 -1.880
sn2005M	 0.02462	 53403.34	 -1.722
sn2008A	 0.01620	 54478.13	 0.030
sn2008A	 0.01620	 54479.12	 1.004
sn2008ae	 0.03010	 54508.35	 0.922
sn2002ck	 0.02980	 52399.37	 2.301
sn2006et	 0.02217	 53996.36	 2.406
sn2005M	 0.02462	 53402.30	 -2.740
sn2008A	 0.01620	 54475.09	 -2.962
sn2005M	 0.02462	 53405.26	 0.157
sn2008ae	 0.03010	 54506.36	 -1.010
sn2008ae	 0.03010	 54507.32	 -0.078
sn2008ae	 0.03010	 54510.32	 2.835
sn2008A	 0.01620	 54477.10	 -0.984
sn2008ae	 0.03010	 54509.35	 1.893
sn2002fk	 0.00750	 52546.44	 -1.449
sn2007ai	 0.03166	 54173.35	 1.980
sn2005M	 0.02462	 53405.21	 0.320
-----------------------------------------------------------------
Pair =(1,0)	 Nspec=4			 mean epoch=-1.25			 epoch std=1.55
SNIa	 zhelio	 MJD	 epoch
sn2003Y	 0.01690	 52674.23	 -1.740
sn2002cf	 0.01540	 52384.33	 -0.750
sn1998bp	 0.01050	 50937.39	 0.980
sn2002fb	 0.01560	 52526.43	 -2.629
-----------------------------------------------------------------
Pair =(1,3)	 Nspec=1			 mean epoch=2.80			 epoch std=nan
SNIa	 zhelio	 MJD	 epoch
sn2001ep	 0.01300	 52202.44	 2.804
-----------------------------------------------------------------
Pair =(1,6)	 Nspec=1			 mean epoch=-2.39			 epoch std=nan
SNIa	 zhelio	 MJD	 epoch
sn2002cr	 0.00940	 52406.19	 -2.388
-----------------------------------------------------------------
Pair =(1,7)	 Nspec=1			 mean epoch=0.04			 epoch std=nan
SNIa	 zhelio	 MJD	 epoch
sn2011fe	 0.00080	 55814.43	 0.040
-----------------------------------------------------------------
Pair =(1,9)	 Nspec=1			 mean epoch=-0.30			 epoch std=nan
SNIa	 zhelio	 MJD	 epoch
sn1999ee	 0.01141	 51469.00	 -0.297
-----------------------------------------------------------------
Pair =(2,0)	 Nspec=2			 mean epoch=-2.53			 epoch std=0.13
SNIa	 zhelio	 MJD	 epoch
sn2006bz	 0.02680	 53860.22	 -2.440
sn1999da	 0.01220	 51368.45	 -2.618
-----------------------------------------------------------------
Pair =(2,1)	 Nspec=1			 mean epoch=0.05			 epoch std=nan
SNIa	 zhelio	 MJD	 epoch
sn1998bp	 0.01050	 50936.45	 0.049
-----------------------------------------------------------------
Pair =(2,3)	 Nspec=1			 mean epoch=1.82			 epoch std=nan
SNIa	 zhelio	 MJD	 epoch
sn2001ep	 0.01300	 52201.44	 1.816
-----------------------------------------------------------------
Pair =(2,4)	 Nspec=1			 mean epoch=0.82			 epoch std=nan
SNIa	 zhelio	 MJD	 epoch
sn2001ep	 0.01300	 52200.43	 0.819
-----------------------------------------------------------------
Pair =(2,5)	 Nspec=1			 mean epoch=1.82			 epoch std=nan
SNIa	 zhelio	 MJD	 epoch
sn2003ch	 0.02500	 52727.17	 1.824
-----------------------------------------------------------------
Pair =(2,6)	 Nspec=3			 mean epoch=-0.92			 epoch std=2.13
SNIa	 zhelio	 MJD	 epoch
sn2003ch	 0.02500	 52727.11	 1.766
sn2000dn	 0.03210	 51823.25	 -0.920
sn2009ag	 0.00864	 54886.20	 -2.440
-----------------------------------------------------------------
Pair =(2,7)	 Nspec=3			 mean epoch=2.29			 epoch std=2.19
